ID,GESCHL,GEBJAHR,BERUFSTAETIG,ARBEITSSTD,ARZTBES,RAUCH,GRO,GEW,SCHULABSCHLUSS,SCHULABSCHLUSS_V,SCHULABSCHLUSS_M,HOE_ABSCHLUSS,HOE_ABSCHLUSS_V,HOE_ABSCHLUSS_M,NETTO,ZUFR
2042,WEIBLICH,1994,HAUPTBERUFL.GANZTAGS,40,0,JA,164,,FACHHOCHSCHULREIFE,,,KEIN ABSCHLUSS,"GEWERBL.,LANDW.LEHRE",KEIN ABSCHLUSS,1000,10
2837,MAENNLICH,1994,NEBENHER BERUFSTAE.,,0,NEIN,167,95,HOCHSCHULREIFE,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE",FACHHOCHSCHULABSCHL.,FACHHOCHSCHULABSCHL.,"GEWERBL.,LANDW.LEHRE",400,8
2354,WEIBLICH,1950,NICHT ERWERBSTAETIG,,1,JA,164,83,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE",MITTLERE REIFE,LEHRE,"GEWERBL.,LANDW.LEHRE","GEWERBL.,LANDW.LEHRE",700,3
405,MAENNLICH,1965,HAUPTBERUFL.GANZTAGS,60,6,JA,180,86,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","MEISTER, TECHNIKER",KAUFMAENNISCHE LEHRE,KEIN ABSCHLUSS,2500,10
2288,MAENNLICH,1960,NICHT ERWERBSTAETIG,,0,NEIN,188,95,FACHHOCHSCHULREIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",HOCHSCHULABSCHLUSS,"GEWERBL.,LANDW.LEHRE",KAUFMAENNISCHE LEHRE,3000,8
930,WEIBLICH,1957,HAUPTBERUFL.GANZTAGS,55,2,NEIN,172,90,HOCHSCHULREIFE,OHNE ABSCHLUSS,OHNE ABSCHLUSS,HOCHSCHULABSCHLUSS,KEIN ABSCHLUSS,KEIN ABSCHLUSS,1300,10
2860,MAENNLICH,1972,HAUPTBERUFL.GANZTAGS,40,0,JA,183,105,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",LEHRE,"GEWERBL.,LANDW.LEHRE","GEWERBL.,LANDW.LEHRE",,8
2383,WEIBLICH,1961,NICHT ERWERBSTAETIG,,2,JA,163,65,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",ANDERER ABSCHLUSS,"GEWERBL.,LANDW.LEHRE",,1040,5
3209,WEIBLICH,1987,HAUPTBERUFL.HALBTAGS,20,0,NEIN,176,62,"VOLKS-,HAUPTSCHULE",,,LEHRE,KAUFMAENNISCHE LEHRE,,560,8
1441,WEIBLICH,1964,NICHT ERWERBSTAETIG,,2,JA,156,,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",LEHRE,"GEWERBL.,LANDW.LEHRE",KEIN ABSCHLUSS,,10
2200,MAENNLICH,1986,NICHT ERWERBSTAETIG,,3,NEIN,172,85,HOCHSCHULREIFE,HOCHSCHULREIFE,MITTLERE REIFE,FACHHOCHSCHULABSCHL.,HOCHSCHULABSCHLUSS,KAUFMAENNISCHE LEHRE,,8
1215,WEIBLICH,1953,HAUPTBERUFL.GANZTAGS,35,2,NEIN,159,125,MITTLERE REIFE,HOCHSCHULREIFE,MITTLERE REIFE,LEHRE,HOCHSCHULABSCHLUSS,ANDERER ABSCHLUSS,1300,6
736,WEIBLICH,1991,NICHT ERWERBSTAETIG,,1,JA,158,56,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",KEIN ABSCHLUSS,"GEWERBL.,LANDW.LEHRE","GEWERBL.,LANDW.LEHRE",,8
974,WEIBLICH,1991,NICHT ERWERBSTAETIG,,3,JA,150,58,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",OHNE ABSCHLUSS,LEHRE,,,,7
760,WEIBLICH,1936,NICHT ERWERBSTAETIG,,2,NEIN,168,84,MITTLERE REIFE,,"VOLKS-,HAUPTSCHULE","MEISTER, TECHNIKER",,,770,7
801,MAENNLICH,1985,HAUPTBERUFL.GANZTAGS,42,6,JA,176,85,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",LEHRE,"GEWERBL.,LANDW.LEHRE","GEWERBL.,LANDW.LEHRE",2000,8
1462,MAENNLICH,1983,HAUPTBERUFL.GANZTAGS,40,0,JA,172,80,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE",MITTLERE REIFE,LEHRE,"GEWERBL.,LANDW.LEHRE","GEWERBL.,LANDW.LEHRE",,8
3144,WEIBLICH,1979,NICHT ERWERBSTAETIG,,1,NEIN,167,71,MITTLERE REIFE,,,KEIN ABSCHLUSS,"MEISTER, TECHNIKER","MEISTER, TECHNIKER",,8
1600,WEIBLICH,1928,NICHT ERWERBSTAETIG,,2,NEIN,170,67,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",LEHRE,"GEWERBL.,LANDW.LEHRE",KEIN ABSCHLUSS,2100,8
1971,MAENNLICH,1943,NICHT ERWERBSTAETIG,,3,JA,178,95,HOCHSCHULREIFE,HOCHSCHULREIFE,MITTLERE REIFE,HOCHSCHULABSCHLUSS,HOCHSCHULABSCHLUSS,"MEISTER, TECHNIKER",4200,8
1031,WEIBLICH,1995,NICHT ERWERBSTAETIG,,2,NEIN,165,55,HOCHSCHULREIFE,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE",KEIN ABSCHLUSS,KAUFMAENNISCHE LEHRE,KEIN ABSCHLUSS,350,8
1476,WEIBLICH,1950,NICHT ERWERBSTAETIG,,20,NEIN,166,67,HOCHSCHULREIFE,MITTLERE REIFE,MITTLERE REIFE,LEHRE,KAUFMAENNISCHE LEHRE,"MEISTER, TECHNIKER",500,8
2057,WEIBLICH,1938,NICHT ERWERBSTAETIG,,7,JA,172,60,HOCHSCHULREIFE,MITTLERE REIFE,MITTLERE REIFE,KEIN ABSCHLUSS,KAUFMAENNISCHE LEHRE,KAUFMAENNISCHE LEHRE,,7
3450,WEIBLICH,1952,HAUPTBERUFL.GANZTAGS,40,2,NEIN,163,98,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",ANDERER ABSCHLUSS,"GEWERBL.,LANDW.LEHRE",KEIN ABSCHLUSS,3000,10
3067,MAENNLICH,1995,NICHT ERWERBSTAETIG,,1,JA,180,82,HOCHSCHULREIFE,OHNE ABSCHLUSS,"VOLKS-,HAUPTSCHULE",KEIN ABSCHLUSS,KEIN ABSCHLUSS,KEIN ABSCHLUSS,,8
2209,WEIBLICH,1941,NICHT ERWERBSTAETIG,,1,JA,162,62,HOCHSCHULREIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",HOCHSCHULABSCHLUSS,"MEISTER, TECHNIKER",,,7
2728,WEIBLICH,1978,NICHT ERWERBSTAETIG,,6,JA,174,60,ANDERER ABSCHLUSS,ANDERER ABSCHLUSS,ANDERER ABSCHLUSS,KEIN ABSCHLUSS,"GEWERBL.,LANDW.LEHRE","GEWERBL.,LANDW.LEHRE",,8
2004,WEIBLICH,1974,HAUPTBERUFL.HALBTAGS,22,2,NEIN,158,54,MITTLERE REIFE,,HOCHSCHULREIFE,LEHRE,"GEWERBL.,LANDW.LEHRE",HOCHSCHULABSCHLUSS,,5
834,MAENNLICH,1933,NICHT ERWERBSTAETIG,,3,NEIN,168,60,"VOLKS-,HAUPTSCHULE",,"VOLKS-,HAUPTSCHULE","MEISTER, TECHNIKER",KAUFMAENNISCHE LEHRE,"GEWERBL.,LANDW.LEHRE",1500,7
2112,MAENNLICH,1966,HAUPTBERUFL.GANZTAGS,40,1,NEIN,176,86,HOCHSCHULREIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",FACHHOCHSCHULABSCHL.,"MEISTER, TECHNIKER","GEWERBL.,LANDW.LEHRE",1850,9
966,MAENNLICH,1949,HAUPTBERUFL.GANZTAGS,43,10,NEIN,180,82,MITTLERE REIFE,HOCHSCHULREIFE,HOCHSCHULREIFE,LEHRE,HOCHSCHULABSCHLUSS,KAUFMAENNISCHE LEHRE,2100,8
146,MAENNLICH,1957,HAUPTBERUFL.GANZTAGS,40,1,JA,186,90,HOCHSCHULREIFE,HOCHSCHULREIFE,"VOLKS-,HAUPTSCHULE",HOCHSCHULABSCHLUSS,"MEISTER, TECHNIKER","GEWERBL.,LANDW.LEHRE",3300,9
2429,WEIBLICH,1962,HAUPTBERUFL.GANZTAGS,35,3,JA,175,85,HOCHSCHULREIFE,HOCHSCHULREIFE,MITTLERE REIFE,LEHRE,HOCHSCHULABSCHLUSS,FACHHOCHSCHULABSCHL.,,5
3053,MAENNLICH,1987,HAUPTBERUFL.GANZTAGS,39,0,NEIN,180,85,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",KEIN ABSCHLUSS,,,260,7
8,MAENNLICH,1979,HAUPTBERUFL.GANZTAGS,42,0,JA,177,92,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",LEHRE,"GEWERBL.,LANDW.LEHRE",KEIN ABSCHLUSS,850,8
2495,MAENNLICH,1953,NICHT ERWERBSTAETIG,,1,JA,183,89,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",LEHRE,"GEWERBL.,LANDW.LEHRE",KEIN ABSCHLUSS,1800,6
2736,MAENNLICH,1988,HAUPTBERUFL.GANZTAGS,40,0,JA,184,69,MITTLERE REIFE,MITTLERE REIFE,MITTLERE REIFE,LEHRE,"GEWERBL.,LANDW.LEHRE","GEWERBL.,LANDW.LEHRE",1700,6
2856,MAENNLICH,1927,NICHT ERWERBSTAETIG,,1,NEIN,162,73,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",ANDERER ABSCHLUSS,"GEWERBL.,LANDW.LEHRE",KEIN ABSCHLUSS,435,10
3071,WEIBLICH,1958,NICHT ERWERBSTAETIG,,2,NEIN,159,88,MITTLERE REIFE,HOCHSCHULREIFE,"VOLKS-,HAUPTSCHULE",ANDERER ABSCHLUSS,"GEWERBL.,LANDW.LEHRE","GEWERBL.,LANDW.LEHRE",2400,9
1090,MAENNLICH,1993,HAUPTBERUFL.GANZTAGS,,4,NEIN,174,95,MITTLERE REIFE,MITTLERE REIFE,FACHHOCHSCHULREIFE,ANDERER ABSCHLUSS,FACHHOCHSCHULABSCHL.,KAUFMAENNISCHE LEHRE,1600,4
2784,WEIBLICH,1983,HAUPTBERUFL.GANZTAGS,45,1,JA,160,56,MITTLERE REIFE,ANDERER ABSCHLUSS,ANDERER ABSCHLUSS,LEHRE,"GEWERBL.,LANDW.LEHRE","MEISTER, TECHNIKER",1500,10
1745,MAENNLICH,1979,HAUPTBERUFL.GANZTAGS,40,0,NEIN,173,75,MITTLERE REIFE,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE",LEHRE,"GEWERBL.,LANDW.LEHRE","GEWERBL.,LANDW.LEHRE",1600,8
1755,WEIBLICH,1964,HAUPTBERUFL.GANZTAGS,35,1,NEIN,171,70,MITTLERE REIFE,,,HOCHSCHULABSCHLUSS,,,2600,7
95,MAENNLICH,1948,NICHT ERWERBSTAETIG,,2,JA,173,74,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","MEISTER, TECHNIKER",KEIN ABSCHLUSS,KEIN ABSCHLUSS,765,6
2349,WEIBLICH,1964,HAUPTBERUFL.HALBTAGS,20,1,NEIN,154,71,HOCHSCHULREIFE,,"VOLKS-,HAUPTSCHULE",HOCHSCHULABSCHLUSS,,"GEWERBL.,LANDW.LEHRE",,10
2550,WEIBLICH,1953,NICHT ERWERBSTAETIG,,2,JA,163,66,"VOLKS-,HAUPTSCHULE",,,LEHRE,,,650,4
2743,WEIBLICH,1976,HAUPTBERUFL.GANZTAGS,24,3,JA,168,70,FACHHOCHSCHULREIFE,MITTLERE REIFE,MITTLERE REIFE,LEHRE,"GEWERBL.,LANDW.LEHRE",KAUFMAENNISCHE LEHRE,650,7
2538,MAENNLICH,1976,HAUPTBERUFL.GANZTAGS,48,1,NEIN,175,72,MITTLERE REIFE,,,LEHRE,KEIN ABSCHLUSS,"GEWERBL.,LANDW.LEHRE",,6
623,WEIBLICH,1946,NICHT ERWERBSTAETIG,,2,NEIN,163,,HOCHSCHULREIFE,HOCHSCHULREIFE,HOCHSCHULREIFE,HOCHSCHULABSCHLUSS,HOCHSCHULABSCHLUSS,KEIN ABSCHLUSS,1210,9
1174,WEIBLICH,1955,HAUPTBERUFL.GANZTAGS,45,1,NEIN,170,65,MITTLERE REIFE,MITTLERE REIFE,MITTLERE REIFE,LEHRE,"GEWERBL.,LANDW.LEHRE",,1600,7
1061,MAENNLICH,1964,HAUPTBERUFL.GANZTAGS,40,1,JA,186,136,FACHHOCHSCHULREIFE,"VOLKS-,HAUPTSCHULE",MITTLERE REIFE,FACHHOCHSCHULABSCHL.,"GEWERBL.,LANDW.LEHRE",KAUFMAENNISCHE LEHRE,3200,10
678,WEIBLICH,1957,HAUPTBERUFL.HALBTAGS,12,1,NEIN,160,75,OHNE ABSCHLUSS,,,KEIN ABSCHLUSS,,KEIN ABSCHLUSS,718,8
2831,MAENNLICH,1951,NICHT ERWERBSTAETIG,,1,NEIN,168,70,"VOLKS-,HAUPTSCHULE",,,LEHRE,KEIN ABSCHLUSS,KEIN ABSCHLUSS,1500,9
2850,WEIBLICH,1982,HAUPTBERUFL.GANZTAGS,55,0,NEIN,177,75,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",LEHRE,"GEWERBL.,LANDW.LEHRE","GEWERBL.,LANDW.LEHRE",2500,7
223,MAENNLICH,1988,NICHT ERWERBSTAETIG,,1,NEIN,168,60,HOCHSCHULREIFE,MITTLERE REIFE,MITTLERE REIFE,HOCHSCHULABSCHLUSS,"GEWERBL.,LANDW.LEHRE",FACHHOCHSCHULABSCHL.,1028,9
2040,MAENNLICH,1963,NICHT ERWERBSTAETIG,,1,NEIN,176,57,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",LEHRE,"GEWERBL.,LANDW.LEHRE","MEISTER, TECHNIKER",246,9
569,MAENNLICH,1986,HAUPTBERUFL.GANZTAGS,50,1,NEIN,174,108,MITTLERE REIFE,,"VOLKS-,HAUPTSCHULE",LEHRE,,,1250,10
1095,MAENNLICH,1960,HAUPTBERUFL.GANZTAGS,39,1,NEIN,180,87,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",LEHRE,"GEWERBL.,LANDW.LEHRE","GEWERBL.,LANDW.LEHRE",,9
2742,MAENNLICH,1975,HAUPTBERUFL.GANZTAGS,70,0,JA,180,92,HOCHSCHULREIFE,OHNE ABSCHLUSS,ANDERER ABSCHLUSS,HOCHSCHULABSCHLUSS,KEIN ABSCHLUSS,"GEWERBL.,LANDW.LEHRE",5000,7
2286,WEIBLICH,1940,NICHT ERWERBSTAETIG,,3,NEIN,156,60,OHNE ABSCHLUSS,HOCHSCHULREIFE,OHNE ABSCHLUSS,KEIN ABSCHLUSS,FACHHOCHSCHULABSCHL.,KEIN ABSCHLUSS,,10
2924,MAENNLICH,1995,HAUPTBERUFL.GANZTAGS,50,6,JA,184,65,HOCHSCHULREIFE,"VOLKS-,HAUPTSCHULE",MITTLERE REIFE,HOCHSCHULABSCHLUSS,"MEISTER, TECHNIKER",KAUFMAENNISCHE LEHRE,3000,5
79,WEIBLICH,1933,NICHT ERWERBSTAETIG,,2,NEIN,165,78,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",LEHRE,KEIN ABSCHLUSS,KEIN ABSCHLUSS,,10
960,MAENNLICH,1964,HAUPTBERUFL.GANZTAGS,45,0,NEIN,189,120,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",LEHRE,,,2200,8
3383,WEIBLICH,1970,NICHT ERWERBSTAETIG,,5,NEIN,160,65,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",LEHRE,"GEWERBL.,LANDW.LEHRE",KEIN ABSCHLUSS,500,5
1557,MAENNLICH,1982,HAUPTBERUFL.GANZTAGS,40,0,NEIN,186,80,HOCHSCHULREIFE,HOCHSCHULREIFE,HOCHSCHULREIFE,HOCHSCHULABSCHLUSS,HOCHSCHULABSCHLUSS,FACHHOCHSCHULABSCHL.,1800,9
2023,WEIBLICH,1973,HAUPTBERUFL.GANZTAGS,50,0,NEIN,175,70,HOCHSCHULREIFE,,,HOCHSCHULABSCHLUSS,,,2650,8
3341,WEIBLICH,1987,HAUPTBERUFL.GANZTAGS,55,0,JA,163,50,MITTLERE REIFE,MITTLERE REIFE,MITTLERE REIFE,LEHRE,"MEISTER, TECHNIKER",FACHHOCHSCHULABSCHL.,1000,5
1064,MAENNLICH,1943,NICHT ERWERBSTAETIG,,1,NEIN,175,80,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","MEISTER, TECHNIKER",KEIN ABSCHLUSS,KEIN ABSCHLUSS,2600,8
2128,MAENNLICH,1975,HAUPTBERUFL.GANZTAGS,45,1,JA,172,92,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",FACHHOCHSCHULABSCHL.,"GEWERBL.,LANDW.LEHRE",,6000,5
997,MAENNLICH,1989,HAUPTBERUFL.GANZTAGS,50,0,JA,180,100,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",LEHRE,"GEWERBL.,LANDW.LEHRE","GEWERBL.,LANDW.LEHRE",1600,9
540,WEIBLICH,1940,NICHT ERWERBSTAETIG,,15,NEIN,172,62,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","MEISTER, TECHNIKER",,"GEWERBL.,LANDW.LEHRE",750,7
3224,WEIBLICH,1942,NICHT ERWERBSTAETIG,,2,NEIN,169,74,HOCHSCHULREIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",HOCHSCHULABSCHLUSS,"GEWERBL.,LANDW.LEHRE","GEWERBL.,LANDW.LEHRE",1800,7
2588,MAENNLICH,1968,HAUPTBERUFL.GANZTAGS,40,0,JA,175,73,MITTLERE REIFE,,"VOLKS-,HAUPTSCHULE",LEHRE,"GEWERBL.,LANDW.LEHRE",KEIN ABSCHLUSS,2400,10
409,WEIBLICH,1962,HAUPTBERUFL.HALBTAGS,22,1,NEIN,172,72,FACHHOCHSCHULREIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",FACHHOCHSCHULABSCHL.,"GEWERBL.,LANDW.LEHRE",KAUFMAENNISCHE LEHRE,2000,9
2788,MAENNLICH,1975,NICHT ERWERBSTAETIG,,1,JA,193,90,MITTLERE REIFE,MITTLERE REIFE,MITTLERE REIFE,"MEISTER, TECHNIKER","MEISTER, TECHNIKER","GEWERBL.,LANDW.LEHRE",530,5
2146,MAENNLICH,1927,NICHT ERWERBSTAETIG,,0,JA,173,73,FACHHOCHSCHULREIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",FACHHOCHSCHULABSCHL.,KEIN ABSCHLUSS,KEIN ABSCHLUSS,1650,9
3295,WEIBLICH,1995,NICHT ERWERBSTAETIG,,2,NEIN,160,60,HOCHSCHULREIFE,HOCHSCHULREIFE,"VOLKS-,HAUPTSCHULE",KEIN ABSCHLUSS,HOCHSCHULABSCHLUSS,"MEISTER, TECHNIKER",656,9
2235,WEIBLICH,1983,HAUPTBERUFL.HALBTAGS,17,3,NEIN,165,70,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",ANDERER ABSCHLUSS,"GEWERBL.,LANDW.LEHRE",KEIN ABSCHLUSS,469,6
2045,MAENNLICH,1974,HAUPTBERUFL.GANZTAGS,"38,5",3,JA,180,72,HOCHSCHULREIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",LEHRE,"MEISTER, TECHNIKER","GEWERBL.,LANDW.LEHRE",900,10
2587,WEIBLICH,1995,NEBENHER BERUFSTAE.,,2,NEIN,173,58,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",ANDERER ABSCHLUSS,"GEWERBL.,LANDW.LEHRE","GEWERBL.,LANDW.LEHRE",45,8
2762,WEIBLICH,1994,HAUPTBERUFL.HALBTAGS,38,10,JA,168,61,MITTLERE REIFE,,,LEHRE,"GEWERBL.,LANDW.LEHRE",KEIN ABSCHLUSS,1300,8
3189,WEIBLICH,1974,HAUPTBERUFL.GANZTAGS,50,2,NEIN,175,81,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",LEHRE,"GEWERBL.,LANDW.LEHRE",KEIN ABSCHLUSS,1500,8
761,MAENNLICH,1960,HAUPTBERUFL.GANZTAGS,37,2,NEIN,179,92,FACHHOCHSCHULREIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","MEISTER, TECHNIKER",,KEIN ABSCHLUSS,,10
699,MAENNLICH,1940,NICHT ERWERBSTAETIG,,1,NEIN,168,71,FACHHOCHSCHULREIFE,OHNE ABSCHLUSS,"VOLKS-,HAUPTSCHULE",FACHHOCHSCHULABSCHL.,KEIN ABSCHLUSS,KEIN ABSCHLUSS,867,8
1575,WEIBLICH,1972,HAUPTBERUFL.HALBTAGS,26,2,NEIN,156,54,FACHHOCHSCHULREIFE,,"VOLKS-,HAUPTSCHULE",LEHRE,,"GEWERBL.,LANDW.LEHRE",900,8
3442,MAENNLICH,1988,HAUPTBERUFL.GANZTAGS,40,0,NEIN,179,73,MITTLERE REIFE,,,LEHRE,,,1200,4
115,WEIBLICH,1936,NICHT ERWERBSTAETIG,,3,NEIN,165,50,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",ANDERER ABSCHLUSS,KEIN ABSCHLUSS,KEIN ABSCHLUSS,650,8
3121,WEIBLICH,1979,HAUPTBERUFL.GANZTAGS,40,3,JA,165,97,FACHHOCHSCHULREIFE,"VOLKS-,HAUPTSCHULE",MITTLERE REIFE,LEHRE,"GEWERBL.,LANDW.LEHRE","GEWERBL.,LANDW.LEHRE",3000,9
3063,WEIBLICH,1994,NICHT ERWERBSTAETIG,,2,NEIN,168,90,"VOLKS-,HAUPTSCHULE",MITTLERE REIFE,MITTLERE REIFE,LEHRE,"GEWERBL.,LANDW.LEHRE",KAUFMAENNISCHE LEHRE,,7
1938,MAENNLICH,1995,HAUPTBERUFL.GANZTAGS,45,1,NEIN,189,145,HOCHSCHULREIFE,HOCHSCHULREIFE,HOCHSCHULREIFE,LEHRE,HOCHSCHULABSCHLUSS,KAUFMAENNISCHE LEHRE,1000,9
276,WEIBLICH,1971,HAUPTBERUFL.HALBTAGS,12,3,JA,182,92,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",LEHRE,KEIN ABSCHLUSS,KEIN ABSCHLUSS,370,8
1435,MAENNLICH,1975,HAUPTBERUFL.GANZTAGS,45,2,NEIN,172,79,MITTLERE REIFE,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE",LEHRE,"MEISTER, TECHNIKER",KEIN ABSCHLUSS,1650,7
2729,WEIBLICH,1980,HAUPTBERUFL.GANZTAGS,40,0,JA,162,70,MITTLERE REIFE,MITTLERE REIFE,MITTLERE REIFE,LEHRE,"MEISTER, TECHNIKER",FACHHOCHSCHULABSCHL.,,9
952,WEIBLICH,1940,NICHT ERWERBSTAETIG,,1,NEIN,169,78,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",LEHRE,"GEWERBL.,LANDW.LEHRE",KEIN ABSCHLUSS,1500,8
592,WEIBLICH,1965,HAUPTBERUFL.GANZTAGS,50,0,JA,170,73,HOCHSCHULREIFE,HOCHSCHULREIFE,MITTLERE REIFE,FACHHOCHSCHULABSCHL.,HOCHSCHULABSCHLUSS,HOCHSCHULABSCHLUSS,,7
